Habit,Date,Value,Unit,Memo,Tag
Study flashcards,2020-10-20,80.6,min,,Priority
Study flashcards,2020-10-21,79.45,min,,Priority
Study flashcards,2020-10-22,109.12,min,,Priority
Study flashcards,2020-10-23,64.68,min,,Priority
Study flashcards,2020-10-24,56.65,min,,Priority
Study flashcards,2020-10-25,62.95,min,,Priority
Study flashcards,2020-10-26,72.78,min,,Priority
Study flashcards,2020-10-27,67.23,min,,Priority
Study flashcards,2020-10-28,69.45,min,,Priority
Study flashcards,2020-10-29,68.95,min,,Priority
Study flashcards,2020-10-30,70.22,min,,Priority
Study flashcards,2020-10-31,80.23,min,,Priority
Study flashcards,2020-11-01,86.1,min,,Priority
Study flashcards,2020-11-02,70.92,min,,Priority
Study flashcards,2020-11-03,68.62,min,,Priority
Study flashcards,2020-11-04,70.58,min,,Priority
Study flashcards,2020-11-05,72.4,min,,Priority
Study flashcards,2020-11-06,65.92,min,,Priority
Study flashcards,2020-11-07,74.57,min,,Priority
Study flashcards,2020-11-08,71.75,min,,Priority
Study flashcards,2020-11-09,81.5,min,,Priority
Study flashcards,2020-11-10,90.25,min,,Priority
Study flashcards,2020-11-11,83.92,min,,Priority
Study flashcards,2020-11-12,72.53,min,,Priority
Study flashcards,2020-11-13,77.32,min,,Priority
Study flashcards,2020-11-14,76.27,min,,Priority
Study flashcards,2020-11-15,65.33,min,,Priority
Study flashcards,2020-11-16,84.25,min,,Priority
Study flashcards,2020-11-17,81.52,min,,Priority
Study flashcards,2020-11-18,69.3,min,,Priority
Study flashcards,2020-11-19,80.82,min,,Priority
Study flashcards,2020-11-20,91.13,min,,Priority
Study flashcards,2020-11-21,59.98,min,,Priority
Study flashcards,2020-11-22,80,min,,Priority
Study flashcards,2020-11-23,92.5,min,,Priority
Study flashcards,2020-11-24,82.47,min,,Priority
Study flashcards,2020-11-25,75.82,min,,Priority
Study flashcards,2020-11-26,82.75,min,,Priority
Study flashcards,2020-11-27,72,min,,Priority
Study flashcards,2020-11-28,79.47,min,,Priority
Study flashcards,2020-11-29,83.1,min,,Priority
Study flashcards,2020-11-30,84.35,min,,Priority
Study flashcards,2020-12-01,76.92,min,,Priority
Study flashcards,2020-12-02,93.97,min,,Priority
Study flashcards,2020-12-03,63.83,min,,Priority
Study flashcards,2020-12-04,79.63,min,,Priority
Study flashcards,2020-12-05,59.2,min,,Priority
Study flashcards,2020-12-06,91.3,min,,Priority
Study flashcards,2020-12-08,83.68,min,,Priority
Study flashcards,2020-12-09,89,min,,Priority
Study flashcards,2020-12-26,46.22,min,,Priority
Study flashcards,2020-12-27,52.3,min,,Priority
Study flashcards,2020-12-28,58.58,min,,Priority
Study flashcards,2020-12-29,58.43,min,,Priority
Study flashcards,2020-12-30,51.27,min,,Priority
Study flashcards,2020-12-31,62.5,min,,Priority
Study flashcards,2021-01-01,59.5,min,,Priority
Study flashcards,2021-01-02,55.22,min,,Priority
Study flashcards,2021-01-03,57.12,min,,Priority
Study flashcards,2021-01-04,54.98,min,,Priority
Study flashcards,2021-01-05,59,min,,Priority
Study flashcards,2021-01-06,42.3,min,,Priority
Study flashcards,2021-01-07,31.88,min,,Priority
Study flashcards,2021-01-08,46.02,min,,Priority
Study flashcards,2021-01-09,56.72,min,,Priority
Study flashcards,2021-01-10,60.12,min,,Priority
Study flashcards,2021-01-11,54.75,min,,Priority
Study flashcards,2021-01-12,60.03,min,,Priority
Study flashcards,2021-01-13,63.35,min,,Priority
Study flashcards,2021-01-14,53.52,min,,Priority
Study flashcards,2021-01-15,64.45,min,,Priority
Study flashcards,2021-01-16,59.43,min,,Priority
Study flashcards,2021-01-17,64.87,min,,Priority
Study flashcards,2021-01-18,64.65,min,,Priority
Study flashcards,2021-01-19,64.42,min,,Priority
Study flashcards,2021-01-20,62.82,min,,Priority
Study flashcards,2021-01-21,59.12,min,,Priority
Study flashcards,2021-01-22,72.37,min,,Priority
Study flashcards,2021-01-23,62.65,min,,Priority
Study flashcards,2021-01-24,63.35,min,,Priority
Study flashcards,2021-01-25,55.7,min,,Priority
Study flashcards,2021-01-26,14.57,min,,Priority
Study flashcards,2021-01-27,60.1,min,,Priority
Study flashcards,2021-01-28,65.37,min,,Priority
Study flashcards,2021-01-29,69.03,min,,Priority
Study flashcards,2021-01-30,46.27,min,,Priority
Study flashcards,2021-01-31,14.35,min,,Priority
Study flashcards,2021-02-01,22.5,min,,Priority
Study flashcards,2021-02-02,3.52,min,,Priority
Study flashcards,2021-02-03,62.02,min,,Priority
Study flashcards,2021-02-04,33,min,,Priority
Study flashcards,2021-02-06,61.97,min,,Priority
Study flashcards,2021-02-07,2.45,min,,Priority
Study flashcards,2021-02-08,20.4,min,,Priority
Study flashcards,2021-02-09,30,min,,Priority
Study flashcards,2021-02-13,96.82,min,,Priority
Study flashcards,2021-02-14,52.75,min,,Priority
Study flashcards,2021-02-15,25.1,min,,Priority
Study flashcards,2021-02-16,23.38,min,,Priority
Study flashcards,2021-02-19,67.18,min,,Priority
Study flashcards,2021-02-20,30.93,min,,Priority
Study flashcards,2021-02-21,28.62,min,,Priority
Study flashcards,2021-02-24,0.5,min,,Priority
Study flashcards,2021-02-25,32.17,min,,Priority
Study flashcards,2021-02-28,56.93,min,,Priority
Study flashcards,2021-03-01,81.9,min,,Priority
Study flashcards,2021-03-02,29.02,min,,Priority
Study flashcards,2021-03-03,24.38,min,,Priority
Study flashcards,2021-03-05,32.43,min,,Priority
Study flashcards,2021-03-07,65.93,min,,Priority
Study flashcards,2021-03-08,42.88,min,,Priority
Study flashcards,2021-03-09,6.08,min,,Priority
Study flashcards,2021-03-10,46.02,min,,Priority
Study flashcards,2021-03-11,17.47,min,,Priority
Study flashcards,2021-03-13,27.17,min,,Priority
Study flashcards,2021-03-14,35.92,min,,Priority
Study flashcards,2021-03-15,46.57,min,,Priority
Study flashcards,2021-03-17,13.95,min,,Priority
Study flashcards,2021-03-18,70.32,min,,Priority
Study flashcards,2021-03-20,42.5,min,,Priority
Study flashcards,2021-03-20,37.48,min,,Priority
Study flashcards,2021-03-21,26.38,min,,Priority
Study flashcards,2021-03-22,45.18,min,,Priority
Study flashcards,2021-03-23,63.75,min,,Priority
Study flashcards,2021-03-25,20.55,min,,Priority
Study flashcards,2021-03-25,50.13,min,,Priority
Study flashcards,2021-03-28,3.65,min,,Priority
Study flashcards,2021-03-28,126.85,min,,Priority
Study flashcards,2021-03-29,34.85,min,,Priority
Study flashcards,2021-04-01,56.85,min,,Priority
Study flashcards,2021-04-03,11.67,min,,Priority
Study flashcards,2021-04-03,64.93,min,,Priority
Study flashcards,2021-04-04,34.25,min,,Priority
Study flashcards,2021-04-05,41.83,min,,Priority
Study flashcards,2021-04-06,38.47,min,,Priority
Study flashcards,2021-04-07,25.18,min,,Priority
Study flashcards,2021-04-08,39.3,min,,Priority
Study flashcards,2021-04-10,72.35,min,,Priority
Study flashcards,2021-04-11,43.62,min,,Priority
Study flashcards,2021-04-12,37.97,min,,Priority
Study flashcards,2021-04-13,41.8,min,,Priority
Study flashcards,2021-04-14,67.28,min,,Priority
Study flashcards,2021-04-15,28.83,min,,Priority
Study flashcards,2021-04-16,17.37,min,,Priority
Study flashcards,2021-04-17,38.55,min,,Priority
Study flashcards,2021-04-18,48.28,min,,Priority
Study flashcards,2021-04-19,51.77,min,,Priority
Study flashcards,2021-04-20,55.27,min,,Priority
Study flashcards,2021-04-21,49.07,min,,Priority
Study flashcards,2021-04-22,49.83,min,,Priority
Study flashcards,2021-04-24,14.47,min,,Priority
Study flashcards,2021-04-25,106.63,min,,Priority
Study flashcards,2021-04-26,64.63,min,,Priority
Study flashcards,2021-04-27,46.78,min,,Priority
Study flashcards,2021-04-28,33.42,min,,Priority
Study flashcards,2021-04-29,80.73,min,,Priority
Study flashcards,2021-04-30,20.63,min,,Priority
Study flashcards,2021-05-01,86.65,min,,Priority
Study flashcards,2021-05-02,31.35,min,,Priority
Study flashcards,2021-05-03,51.28,min,,Priority
Study flashcards,2021-05-04,54.8,min,,Priority
Study flashcards,2021-05-05,62.2,min,,Priority
Study flashcards,2021-05-06,55.82,min,,Priority
Study flashcards,2021-05-08,5.7,min,,Priority
Study flashcards,2021-05-08,22.6,min,,Priority
Study flashcards,2021-05-09,94.12,min,,Priority
Study flashcards,2021-05-10,51.63,min,,Priority
Study flashcards,2021-05-11,48.48,min,,Priority
Study flashcards,2021-05-12,59.38,min,,Priority
Study flashcards,2021-05-13,54.28,min,,Priority
Study flashcards,2021-05-15,17.22,min,,Priority
Study flashcards,2021-05-17,64.53,min,,Priority
Study flashcards,2021-05-18,42.85,min,,Priority
Study flashcards,2021-05-19,47.48,min,,Priority
Study flashcards,2021-05-20,58.28,min,,Priority
Study flashcards,2021-05-21,50.3,min,,Priority
Study flashcards,2021-05-22,61.95,min,,Priority
Study flashcards,2021-05-23,59.02,min,,Priority
Study flashcards,2021-05-24,52.38,min,,Priority
Study flashcards,2021-05-25,56.02,min,,Priority
Study flashcards,2021-05-26,56.47,min,,Priority
Study flashcards,2021-05-27,53.57,min,,Priority
Study flashcards,2021-05-28,58.08,min,,Priority
Study flashcards,2021-05-29,56.47,min,,Priority
Study flashcards,2021-05-30,61.12,min,,Priority
Study flashcards,2021-05-31,70.83,min,,Priority
Study flashcards,2021-06-01,62.35,min,,Priority
Study flashcards,2021-06-02,48.17,min,,Priority
Study flashcards,2021-06-03,49.75,min,,Priority
Study flashcards,2021-06-04,57.7,min,,Priority
Study flashcards,2021-06-05,57.37,min,,Priority
Study flashcards,2021-06-06,69.62,min,,Priority
Study flashcards,2021-06-07,64.2,min,,Priority
Study flashcards,2021-06-08,71.58,min,,Priority
Study flashcards,2021-06-09,51.1,min,,Priority
Study flashcards,2021-06-10,85.9,min,,Priority
Study flashcards,2021-06-11,43.13,min,,Priority
Study flashcards,2021-06-13,12.07,min,,Priority
Study flashcards,2021-06-14,38.33,min,,Priority
Study flashcards,2021-06-14,41.45,min,,Priority
Study flashcards,2021-06-16,34.43,min,,Priority
Study flashcards,2021-06-17,12.37,min,,Priority
Study flashcards,2021-06-18,28.87,min,,Priority
Study flashcards,2021-06-19,28.73,min,,Priority
Study flashcards,2021-06-19,12.57,min,,Priority
Study flashcards,2021-06-21,28.63,min,,Priority
Study flashcards,2021-06-22,93.05,min,,Priority
Study flashcards,2021-06-23,46.75,min,,Priority
Study flashcards,2021-06-24,42.6,min,,Priority
Study flashcards,2021-06-25,60.73,min,,Priority
Study flashcards,2021-06-26,54.67,min,,Priority
Study flashcards,2021-06-27,43.92,min,,Priority
Study flashcards,2021-06-28,40.82,min,,Priority
Study flashcards,2021-06-29,48.68,min,,Priority
Study flashcards,2021-06-30,44.83,min,,Priority
Study flashcards,2021-07-02,42.27,min,,Priority
Study flashcards,2021-07-04,50.48,min,,Priority
Study flashcards,2021-07-05,43.1,min,,Priority
Study flashcards,2021-07-06,49.83,min,,Priority
Study flashcards,2021-07-07,51.93,min,,Priority
Study flashcards,2021-07-08,28.78,min,,Priority
Study flashcards,2021-07-09,34.67,min,,Priority
Study flashcards,2021-07-10,0.47,min,,Priority
Study flashcards,2021-07-11,22.2,min,,Priority
Study flashcards,2021-07-12,57.79,min,,Priority
Study flashcards,2021-07-13,43.55,min,,Priority
Study flashcards,2021-07-14,40.08,min,,Priority
Study flashcards,2021-07-15,31.97,min,,Priority
Study flashcards,2021-07-16,50.78,min,,Priority
Study flashcards,2021-07-17,56.1,min,,Priority
Study flashcards,2021-07-18,46.37,min,,Priority
Study flashcards,2021-07-19,39.82,min,,Priority
Study flashcards,2021-07-20,19.93,min,,Priority
Study flashcards,2021-07-21,48.6,min,,Priority
Study flashcards,2021-07-22,40.03,min,,Priority
Study flashcards,2021-07-23,29,min,,Priority
Study flashcards,2021-07-24,27.52,min,,Priority
Study flashcards,2021-07-25,22.32,min,,Priority
Study flashcards,2021-07-26,69.18,min,,Priority
Study flashcards,2021-07-27,17.87,min,,Priority
Study flashcards,2021-07-28,30.45,min,,Priority
Study flashcards,2021-07-29,23.55,min,,Priority
Study flashcards,2021-07-31,26.97,min,,Priority
Study flashcards,2021-07-31,32.15,min,,Priority
Study flashcards,2021-08-02,28.7,min,,Priority
Study flashcards,2021-08-03,14,min,,Priority
Study flashcards,2021-08-03,106.12,min,,Priority
Study flashcards,2021-08-05,9.83,min,,Priority
Study flashcards,2021-08-05,4.27,min,,Priority
Study flashcards,2021-08-06,61.6,min,,Priority
Study flashcards,2021-08-09,36.03,min,,Priority
Study flashcards,2021-08-10,42.62,min,,Priority
Study flashcards,2021-08-11,39.68,min,,Priority
Study flashcards,2021-08-14,34.3,min,,Priority
Study flashcards,2021-08-15,33.38,min,,Priority
Study flashcards,2021-08-16,1.9,min,,Priority
Study flashcards,2021-08-17,15.45,min,,Priority
Study flashcards,2021-08-18,68.8,min,,Priority
Study flashcards,2021-08-19,12.82,min,,Priority
Study flashcards,2021-08-20,2.65,min,,Priority
Study flashcards,2021-08-21,57.6,min,,Priority
Study flashcards,2021-08-22,49.27,min,,Priority
Study flashcards,2021-08-24,6.62,min,,Priority
Study flashcards,2021-08-25,20.43,min,,Priority
Study flashcards,2021-08-27,59.6,min,,Priority
Study flashcards,2021-08-28,30.58,min,,Priority
Study flashcards,2021-08-29,36.38,min,,Priority
Study flashcards,2021-08-30,48.57,min,,Priority
Study flashcards,2021-08-31,34.8,min,,Priority
Study flashcards,2021-09-01,39.5,min,,Priority
Study flashcards,2021-09-02,14.6,min,,Priority
Study flashcards,2021-09-03,35.42,min,,Priority
Study flashcards,2021-09-04,43.52,min,,Priority
Study flashcards,2021-09-05,55.98,min,,Priority
Study flashcards,2021-09-06,58.67,min,,Priority
Study flashcards,2021-09-07,29.37,min,,Priority
Study flashcards,2021-09-08,45.75,min,,Priority
Study flashcards,2021-09-09,47.05,min,,Priority
Study flashcards,2021-09-10,44.48,min,,Priority
Study flashcards,2021-09-11,57.23,min,,Priority
Study flashcards,2021-09-12,51.85,min,,Priority
Study flashcards,2021-09-15,44.35,min,,Priority
Study flashcards,2021-09-16,45.57,min,,Priority
Study flashcards,2021-09-17,56.37,min,,Priority
Study flashcards,2021-09-18,40.67,min,,Priority
Study flashcards,2021-09-21,35.33,min,,Priority
Study flashcards,2021-09-22,34.37,min,,Priority
Study flashcards,2021-09-23,34.95,min,,Priority
Study flashcards,2021-09-24,12.37,min,,Priority
Study flashcards,2021-09-25,59.27,min,,Priority
Study flashcards,2021-09-26,34.98,min,,Priority
Study flashcards,2021-09-27,12.8,min,,Priority
Study flashcards,2021-09-28,17.62,min,,Priority
Study flashcards,2021-09-29,35.9,min,,Priority
Study flashcards,2021-09-30,6,min,,Priority
Study flashcards,2021-10-01,54.95,min,,Priority
Study flashcards,2021-10-03,51.18,min,,Priority
Study flashcards,2021-10-04,14.67,min,,Priority
Study flashcards,2021-10-05,18.08,min,,Priority
Study flashcards,2021-10-06,41.92,min,,Priority
Study flashcards,2021-10-07,29.32,min,,Priority
Study flashcards,2021-10-08,45.23,min,,Priority
Study flashcards,2021-10-09,47.3,min,,Priority
Study flashcards,2021-10-10,30.2,min,,Priority
Study flashcards,2021-10-11,47.33,min,,Priority
Study flashcards,2021-10-12,55.05,min,,Priority
Study flashcards,2021-10-13,54.57,min,,Priority
Study flashcards,2021-10-14,16,min,,Priority
Study flashcards,2021-10-15,0.32,min,,Priority
Study flashcards,2021-10-16,87.32,min,,Priority
Study flashcards,2021-10-17,66.38,min,,Priority
Study flashcards,2021-10-18,48.1,min,,Priority
Study flashcards,2021-10-19,8.7,min,,Priority
Study flashcards,2021-10-20,73.38,min,,Priority
Study flashcards,2021-10-21,31.55,min,,Priority
Study flashcards,2021-10-23,16.8,min,,Priority
Study flashcards,2021-10-24,92.2,min,,Priority
Study flashcards,2021-10-25,51.83,min,,Priority
Study flashcards,2021-10-26,44.22,min,,Priority
Study flashcards,2021-10-28,60,min,,Priority
Study flashcards,2021-10-29,53.27,min,,Priority
Study flashcards,2021-10-30,36.33,min,,Priority
Study flashcards,2021-11-01,41.12,min,,Priority
Study flashcards,2021-11-02,50.48,min,,Priority
Study flashcards,2021-11-03,44.03,min,,Priority
Study flashcards,2021-11-04,21.13,min,,Priority
Study flashcards,2021-11-05,51.4,min,,Priority
Study flashcards,2021-11-06,51.4,min,,Priority
Study flashcards,2021-11-07,34.17,min,,Priority
Study flashcards,2021-11-08,49.08,min,,Priority
Study flashcards,2021-11-09,56.93,min,,Priority
Study flashcards,2021-11-10,21.9,min,,Priority
Study flashcards,2021-11-11,7.42,min,,Priority
Study flashcards,2021-11-13,76.78,min,,Priority
Study flashcards,2021-11-14,71.8,min,,Priority
Study flashcards,2021-11-15,4.82,min,,Priority
Study flashcards,2021-11-16,26.12,min,,Priority
Study flashcards,2021-11-17,36.32,min,,Priority
Study flashcards,2021-11-18,40.43,min,,Priority
Study flashcards,2021-11-19,33.88,min,,Priority
Study flashcards,2021-11-21,17.23,min,,Priority
Study flashcards,2021-11-21,31.68,min,,Priority
Study flashcards,2021-11-22,32,min,,Priority
Study flashcards,2021-11-23,15.85,min,,Priority
Study flashcards,2021-11-24,32.25,min,,Priority
Study flashcards,2021-11-25,32.45,min,,Priority
Study flashcards,2021-11-26,30.53,min,,Priority
Study flashcards,2021-11-27,19.32,min,,Priority
Study flashcards,2021-11-28,13.27,min,,Priority
Study flashcards,2021-11-29,45.45,min,,Priority
Study flashcards,2021-11-30,22.3,min,,Priority
Study flashcards,2021-12-01,50.37,min,,Priority
Study flashcards,2021-12-02,42.35,min,,Priority
Study flashcards,2021-12-03,37.97,min,,Priority
Study flashcards,2021-12-04,23.82,min,,Priority
Study flashcards,2021-12-05,42.47,min,,Priority
Study flashcards,2021-12-06,36.47,min,,Priority
Study flashcards,2021-12-08,35.7,min,,Priority
Study flashcards,2021-12-09,14.78,min,,Priority
Study flashcards,2021-12-10,35.33,min,,Priority
Study flashcards,2021-12-11,36.28,min,,Priority
Study flashcards,2021-12-12,42.57,min,,Priority
Study flashcards,2021-12-13,42.42,min,,Priority
Study flashcards,2021-12-14,46.18,min,,Priority
Study flashcards,2021-12-15,35.37,min,,Priority
Study flashcards,2021-12-16,48.83,min,,Priority
Study flashcards,2021-12-17,0,min,,Priority
Study flashcards,2021-12-18,84.68,min,,Priority
Study flashcards,2021-12-19,45.5,min,,Priority
Study flashcards,2021-12-20,25.05,min,,Priority
Study flashcards,2021-12-21,28.35,min,,Priority
Study flashcards,2021-12-22,44.97,min,,Priority
Study flashcards,2021-12-23,35.72,min,,Priority
Study flashcards,2021-12-24,28.85,min,,Priority
Study flashcards,2021-12-25,40.78,min,,Priority
Study flashcards,2021-12-26,45.52,min,,Priority
Study flashcards,2021-12-27,40.98,min,,Priority
Study flashcards,2021-12-28,34.07,min,,Priority
Study flashcards,2021-12-29,35.18,min,,Priority
Study flashcards,2021-12-30,31.82,min,,Priority
Study flashcards,2021-12-31,1.67,min,,Priority
Study flashcards,2022-01-01,42.65,min,,Priority
Study flashcards,2022-01-02,58.5,min,,Priority
Study flashcards,2022-01-03,29.47,min,,Priority
Study flashcards,2022-01-04,56.92,min,,Priority
Study flashcards,2022-01-05,47.05,min,,Priority
Study flashcards,2022-01-06,43.13,min,,Priority
Study flashcards,2022-01-07,45.98,min,,Priority
Study flashcards,2022-01-08,47.18,min,,Priority
Study flashcards,2022-01-09,48.97,min,,Priority
Study flashcards,2022-01-10,58.97,min,,Priority
Study flashcards,2022-01-11,54.75,min,,Priority
Study flashcards,2022-01-12,49.12,min,,Priority
Study flashcards,2022-01-13,94.52,min,,Priority
Study flashcards,2022-01-14,41.85,min,,Priority
Study flashcards,2022-01-15,42.57,min,,Priority
Study flashcards,2022-01-16,40.02,min,,Priority
Study flashcards,2022-01-17,35.8,min,,Priority
Study flashcards,2022-01-18,30.82,min,,Priority
Study flashcards,2022-01-19,45.45,min,,Priority
Study flashcards,2022-01-20,55.08,min,,Priority
Study flashcards,2022-01-21,37.87,min,,Priority
Study flashcards,2022-01-22,30.02,min,,Priority
Study flashcards,2022-01-23,51.35,min,,Priority
Study flashcards,2022-01-24,50.7,min,,Priority
Study flashcards,2022-01-25,48.33,min,,Priority
Study flashcards,2022-01-26,43.3,min,,Priority
Study flashcards,2022-01-27,36.78,min,,Priority
Study flashcards,2022-01-28,43.07,min,,Priority
Study flashcards,2022-01-29,42.17,min,😀 ,Priority
Study flashcards,2022-01-30,36.67,min,,Priority
Study flashcards,2022-01-31,8.17,min,,Priority
Study flashcards,2022-02-01,49.08,min,,Priority
Study flashcards,2022-02-02,45.15,min,,Priority
Study flashcards,2022-02-03,49.63,min,,Priority
Study flashcards,2022-02-04,50.3,min,,Priority
Study flashcards,2022-02-05,49.53,min,,Priority
Study flashcards,2022-02-06,43.17,min,,Priority
Study flashcards,2022-02-07,41.62,min,,Priority
Study flashcards,2022-02-08,54.12,min,,Priority
Study flashcards,2022-02-09,61.43,min,,Priority
Study flashcards,2022-02-10,55.6,min,,Priority
Study flashcards,2022-02-11,44.32,min,,Priority
Study flashcards,2022-02-13,62.12,min,,Priority
Study flashcards,2022-02-14,49.8,min,,Priority
Study flashcards,2022-02-15,52.63,min,,Priority
Study flashcards,2022-02-16,52.42,min,,Priority
Study flashcards,2022-02-17,50.28,min,,Priority
Study flashcards,2022-02-18,50.02,min,,Priority
Study flashcards,2022-02-20,49.58,min,,Priority
Study flashcards,2022-02-21,54.03,min,,Priority
Study flashcards,2022-02-22,51.2,min,,Priority
Study flashcards,2022-02-23,52.2,min,,Priority
Study flashcards,2022-02-24,54.57,min,😀 Bb look ppm ooo,Priority
Study flashcards,2022-02-25,44.83,min,,Priority
Study flashcards,2022-02-26,53.12,min,,Priority
Study flashcards,2022-02-27,71.63,min,,Priority
Study flashcards,2022-02-28,47.6,min,,Priority
Study flashcards,2022-03-01,57.95,min,,Priority
Study flashcards,2022-03-02,61.1,min,,Priority
Study flashcards,2022-03-03,58.52,min,,Priority
Study flashcards,2022-03-04,69.03,min,,Priority
Study flashcards,2022-03-05,58.35,min,,Priority
Study flashcards,2022-03-06,51.12,min,,Priority
Study flashcards,2022-03-07,55,min,,Priority
Study flashcards,2022-03-08,56.23,min,,Priority
Study flashcards,2022-03-09,49.27,min,,Priority
Study flashcards,2022-03-10,56.17,min,,Priority
Study flashcards,2022-03-11,56.87,min,,Priority
Study flashcards,2022-03-12,10.87,min,,Priority
Study flashcards,2022-03-13,102.27,min,,Priority
Study flashcards,2022-03-14,38.93,min,,Priority
Study flashcards,2022-03-15,59.5,min,,Priority
